value,count,class,zone,group
0.2557,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.256,4,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2587,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2594,6,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2595,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2596,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2605,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.261,3,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2612,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2622,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2623,8,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2625,2,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2632,4,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2651,2,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2661,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2708,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2714,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.276,2,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.277,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2778,8,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2789,5,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2791,2,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2797,2,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2798,2,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2799,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2801,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2805,38,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2807,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2809,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.281,2,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2811,4,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2812,52,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2813,67,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2815,6,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2816,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2818,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2819,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.282,95,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2821,5,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2822,3,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2826,3,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2828,69,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.283,8,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2831,7,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2832,2,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2833,9,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2834,1,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2836,3,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2838,4,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
0.2839,9,Tropical & Subtropical Moist Broadleaf Forests,1,Invertebrades
